date,average,industry
2004-03,32.455,Industrials
2004-04,33.289,Industrials
2004-05,32.897,Industrials
2004-06,34.647,Industrials
2004-07,35.064,Industrials
2004-08,34.578,Industrials
2004-09,35.741,Industrials
2004-10,35.647,Industrials
2004-11,37.726,Industrials
2004-12,38.826,Industrials
2005-01,37.482,Industrials
2005-02,38.133,Industrials
2005-03,38.831,Industrials
2005-04,38.091,Industrials
2005-05,38.769,Industrials
2005-06,39.084,Industrials
2005-07,38.847,Industrials
2005-08,38.964,Industrials
2005-09,38.904,Industrials
2005-10,38.484,Industrials
2005-11,39.772,Industrials
2005-12,41.192,Industrials
2006-01,41.41,Industrials
2006-02,42.587,Industrials
2006-03,44.157,Industrials
2006-04,45.775,Industrials
2006-05,46.1,Industrials
2006-06,44.24,Industrials
2006-07,43.635,Industrials
2006-08,43.302,Industrials
2006-09,44.327,Industrials
2006-10,45.989,Industrials
2006-11,46.428,Industrials
2006-12,47.404,Industrials
2007-01,47.933,Industrials
2007-02,48.988,Industrials
2007-03,48.178,Industrials
2007-04,49.424,Industrials
2007-05,51.984,Industrials
2007-06,53.331,Industrials
2007-07,55.27,Industrials
2007-08,53.748,Industrials
2007-09,55.079,Industrials
2007-10,56.452,Industrials
2007-11,54.299,Industrials
2007-12,54.428,Industrials
2008-01,51.283,Industrials
2008-02,51.739,Industrials
2008-03,50.72,Industrials
2008-04,51.227,Industrials
2008-05,51.466,Industrials
2008-06,47.965,Industrials
2008-07,45.122,Industrials
2008-08,46.702,Industrials
2008-09,44.258,Industrials
2008-10,33.742,Industrials
2008-11,30.451,Industrials
2008-12,31.101,Industrials
2009-01,30.756,Industrials
2009-02,26.862,Industrials
2009-03,24.35,Industrials
2009-04,28.597,Industrials
2009-05,31.455,Industrials
2009-06,31.703,Industrials
2009-07,30.675,Industrials
2009-08,33.929,Industrials
2009-09,36.424,Industrials
2009-10,36.666,Industrials
2009-11,37.695,Industrials
2009-12,38.77,Industrials
2010-01,39.972,Industrials
2010-02,39.286,Industrials
2010-03,42.743,Industrials
2010-04,45.213,Industrials
2010-05,42.962,Industrials
2010-06,40.74,Industrials
2010-07,40.894,Industrials
2010-08,41.7,Industrials
2010-09,42.664,Industrials
2010-10,44.9,Industrials
2010-11,45.126,Industrials
2010-12,47.279,Industrials
2011-01,49.486,Industrials
2011-02,52.283,Industrials
2011-03,51.922,Industrials
2011-04,53.468,Industrials
2011-05,53.858,Industrials
2011-06,51.808,Industrials
2011-07,52.923,Industrials
2011-08,44.801,Industrials
2011-09,43.806,Industrials
2011-10,45.339,Industrials
2011-11,46.877,Industrials
2011-12,48.31,Industrials
2012-01,51.308,Industrials
2012-02,53.646,Industrials
2012-03,54.191,Industrials
2012-04,53.541,Industrials
2012-05,51.3,Industrials
2012-06,50.317,Industrials
2012-07,51.659,Industrials
2012-08,53.518,Industrials
2012-09,54.35,Industrials
2012-10,54.574,Industrials
2012-11,53.633,Industrials
2012-12,55.34,Industrials
2013-01,57.695,Industrials
2013-02,58.49,Industrials
